,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
60,"['008', ' 642', ' 807', ' 498', ' 100', ' 688', ' 348', ' 804']",cheese,"Urdha,_Urda,_Vurda,_Orda,_Izvara,_Zsendice",cow_milk,Materials,dairy_products,milk,cow_milk
61,"['051', ' 792']",cheese,"Motal_Paniri,_Panire_Khiki,_Panire_Pousti",cow_milk,Materials,dairy_products,milk,cow_milk
62,['40'],cheese,Bregenzerwalder_Mountain_Cheese,cow_milk,Materials,dairy_products,milk,cow_milk
63,['40'],cheese,Montafoner_Suure_Kees,cow_milk,Materials,dairy_products,milk,cow_milk
64,['40'],cheese,Glundner_cheese,cow_milk,Materials,dairy_products,milk,cow_milk
65,['40'],cheese,Ennstaler_Steirerkas,cow_milk,Materials,dairy_products,milk,cow_milk
66,"['040', ' 380']",cheese,Tiroler_Graukase,cow_milk,Materials,dairy_products,milk,cow_milk
67,['56'],cheese,Pas_de_Rouge,cow_milk,Materials,dairy_products,milk,cow_milk
68,['56'],cheese,Herve,cow_milk,Materials,dairy_products,milk,cow_milk
69,['76'],cheese,Queijo_minas,cow_milk,Materials,dairy_products,milk,cow_milk
70,"['076', ' 484', ' 858']",cheese,Requeson,cow_milk,Materials,dairy_products,milk,cow_milk
71,['100'],yogurt,Bulgarian_yoghurt,cow_milk,Materials,dairy_products,milk,cow_milk
72,['100'],cheese,Sirene,cow_milk,Materials,dairy_products,milk,cow_milk
73,['108'],dairy_product,Amateregua,cow_milk,Materials,dairy_products,milk,cow_milk
74,['108'],dairy_product,Urubu,cow_milk,Materials,dairy_products,milk,cow_milk
75,['108'],dairy_product,Amavuta,cow_milk,Materials,dairy_products,milk,cow_milk
76,['196'],cheese,Halloumi,cow_milk,Materials,dairy_products,milk,cow_milk
77,['203'],cheese,Olomouc_cheese,cow_milk,Materials,dairy_products,milk,cow_milk
78,['208'],cheese,Dana_Blu,cow_milk,Materials,dairy_products,milk,cow_milk
79,['818'],dairy_product,Laban_rayeb,cow_milk,Materials,dairy_products,milk,cow_milk
80,['818'],fermented_cereal,Egyptian_Kishk,cow_milk,Materials,dairy_products,milk,cow_milk
81,['231'],yogurt,Ergo,cow_milk,Materials,dairy_products,milk,cow_milk
82,['246'],cheese,Juustoleipä,cow_milk,Materials,dairy_products,milk,cow_milk
83,['246'],dairy_product,Piima,cow_milk,Materials,dairy_products,milk,cow_milk
84,"['246', ' 752']",yogurt,Viili,cow_milk,Materials,dairy_products,milk,cow_milk
