,Country_code,Category,Product,Raw_material_ontology,Level0,Level1,Level2,Level4
70,"['288', ' 566', ' 854']",yogurt,Nunu,cow_milk,Materials,dairy_products,milk,cow_milk
71,['300'],fermented_cereal,Trahana,cow_milk,Materials,dairy_products,milk,cow_milk
72,['352'],Yoghurt,Skyr,cow_milk,Materials,dairy_products,milk,cow_milk
73,['356'],Yoghurt,Lassi,cow_milk,Materials,dairy_products,milk,cow_milk
74,['356'],dairy_product,Shrikhand,cow_milk,Materials,dairy_products,milk,cow_milk
75,"['356', ' 050']",dairy_product,"Misti_dahi,_Mishti_doi,_Lal_dahi,_Payodhi",cow_milk,Materials,dairy_products,milk,cow_milk
76,['356'],dairy_product,Somar,cow_milk,Materials,dairy_products,milk,cow_milk
77,"['356', ' 064', ' 524']",cheese,Dudh_churpi,cow_milk,Materials,dairy_products,milk,cow_milk
78,['356'],dairy_product,"Ghee,_Gheu",cow_milk,Materials,dairy_products,milk,cow_milk
79,"['356', ' 524']",fermented_cereal,Selroti,cow_milk,Materials,dairy_products,milk,cow_milk
80,"['356', ' 064', ' 524', ' 156']",cheese,"Chhu,_Sheden",cow_milk,Materials,dairy_products,milk,cow_milk
81,"['356', ' 064', ' 524', ' 156']",cheese,Chhurpi,cow_milk,Materials,dairy_products,milk,cow_milk
82,"['004', ' 012', ' 480', ' 031', ' 050', ' 818', ' 231', ' 242', ' 356', ' 364', ' 368', ' 524', ' 586', ' 144', ' 760', ' 788', ' 792']",fermented_cereal,Jalebi,cow_milk,Materials,dairy_products,milk,cow_milk
83,"['356', ' 524', ' 568', ' 050']",cheese,Paneer,cow_milk,Materials,dairy_products,milk,cow_milk
84,"['356', ' 524', ' 144', ' 050', ' 568']",Yoghurt,Dahi,cow_milk,Materials,dairy_products,milk,cow_milk
85,"['356', ' 524', ' 156']",dairy_product,Philu,cow_milk,Materials,dairy_products,milk,cow_milk
86,['nan'],dairy_product,Buttermilk,cow_milk,Materials,dairy_products,milk,cow_milk
87,['360'],dairy_product,Dadih,cow_milk,Materials,dairy_products,milk,cow_milk
88,['364'],dairy_product,Doogh,cow_milk,Materials,dairy_products,milk,cow_milk
89,"['364', ' 368', ' 268', ' 792', ' 300', ' 422', ' 807', ' 688', ' 760', ' 499', ' 070', ' 004', ' 031', ' 398', ' 586']",dairy_product,"Kaymak,_Kajmak,_Kaimak,_Gemagh,_Geymar",cow_milk,Materials,dairy_products,milk,cow_milk
90,['372'],cheese,Durrus,cow_milk,Materials,dairy_products,milk,cow_milk
91,['372'],cheese,Dilliskus,cow_milk,Materials,dairy_products,milk,cow_milk
92,['372'],cheese,Gubbeen,cow_milk,Materials,dairy_products,milk,cow_milk
93,['372'],cheese,Cashel_Blue,cow_milk,Materials,dairy_products,milk,cow_milk
94,['372'],cheese,Milleens,cow_milk,Materials,dairy_products,milk,cow_milk
95,['380'],cheese,Fontina_Val_D'Aosta,cow_milk,Materials,dairy_products,milk,cow_milk
96,['380'],cheese,Montasio,cow_milk,Materials,dairy_products,milk,cow_milk
97,['380'],cheese,Valle_D'Aosta_Fromadzo,cow_milk,Materials,dairy_products,milk,cow_milk
98,['380'],cheese,Asiago,cow_milk,Materials,dairy_products,milk,cow_milk
99,['380'],cheese,Burrata,cow_milk,Materials,dairy_products,milk,cow_milk
100,['380'],cheese,Caciocavallo,cow_milk,Materials,dairy_products,milk,cow_milk
101,['380'],cheese,Gorgonzola,cow_milk,Materials,dairy_products,milk,cow_milk
102,['380'],cheese,Grana_Padano,cow_milk,Materials,dairy_products,milk,cow_milk
103,['380'],cheese,Mascarpone,cow_milk,Materials,dairy_products,milk,cow_milk
104,['056'],beer,Lambic_beer,barley,Materials,cereal_food,hordeum,barley
105,"['356', ' 524', ' 064', ' 156']",alcoholic_beverage,Chhaang,barley,Materials,cereal_food,hordeum,barley
106,"['233', ' 643', ' 616']",fermented_cereal,Kvass,barley,Materials,cereal_food,hordeum,barley
107,['231'],beer,Tella,barley,Materials,cereal_food,hordeum,barley
108,['246'],beer,Sahti,barley,Materials,cereal_food,hordeum,barley
109,['356'],alcoholic_beverage,Mingiri,barley,Materials,cereal_food,hordeum,barley
110,['356'],alcoholic_beverage,Lohpani,barley,Materials,cereal_food,hordeum,barley
111,['356'],alcoholic_beverage,Bhangchang,barley,Materials,cereal_food,hordeum,barley
112,['356'],alcoholic_beverage,Sing_sing,barley,Materials,cereal_food,hordeum,barley
113,['356'],alcoholic_beverage,Themsing,barley,Materials,cereal_food,hordeum,barley
