id
004
008
012
031
040
050
051
064
068
070
076
100
104
108
112
116
120
124
144
152
156
170
178
191
196
203
204
208
218
222
231
232
233
242
246
250
268
276
288
300
304
328
332
348
352
356
360
364
368
372
380
384
388
392
398
40
404
410
422
428
438
440
458
466
470
480
484
496
498
499
50
524
528
56
562
566
568
578
586
604
608
616
620
642
643
686
688
702
703
705
706
710
72
724
752
756
76
760
764
768
788
792
795
804
807
818
826
840
854
858
860
894
nan
004.dairy product
004.fermented cereal
008.cheese
008.fermented fish
012.fermented cereal
031.dairy product
031.fermented cereal
040.cheese
040.fermented meat
040.wine
050.cheese
050.dairy product
050.fermented cereal
050.fermented fish
050.yoghurt
051.cheese
064.alcoholic beverage
064.cheese
064.dairy product
064.fermented legumes
064.fermented meat
064.fermented vegetables
068.fermented meat
070.dairy product
070.fermented fish
070.fermented vegetables
076.cheese
100.cheese
100.fermented fish
100.fermented vegetables
100.yoghurt
104.fermented vegetables
108.alcoholic beverage
108.dairy product
108.fermented roots
112.dairy product
116.fermented fish
120.fermented roots
124.wine
144.fermented cereal
144.yoghurt
152.fermented fruit
152.fermented meat
156.alcoholic beverage
156.cheese
156.dairy product
156.fermented cereal
156.fermented legumes
156.fermented meat
156.fermented vegetables
170.alcoholic beverage
178.fermented cereal
178.fermented roots
191.cheese
191.fermented vegetables
196.cheese
196.fermented cereal
203.cheese
203.dairy product
204.alcoholic beverage
204.condiment
204.fermented cereal
204.fermented fish
204.fermented roots
208.cheese
218.fermented cereal
222.fermented vegetables
231.alcoholic beverage
231.beer
231.fermented cereal
231.fermented vegetables
231.yoghurt
232.alcoholic beverage
232.fermented cereal
233.fermented cereal
242.fermented cereal
246.alcoholic beverage
246.beer
246.cheese
246.dairy product
246.yoghurt
250.alcoholic beverage
250.cheese
250.dairy product
250.wine
268.cheese
268.dairy product
276.cheese
276.fermented cereal
276.fermented meat
276.fermented vegetables
276.wine
288.alcoholic beverage
288.beer
288.fermented cereal
288.fermented legumes
288.fermented roots
288.yoghurt
300.cheese
300.dairy product
300.fermented cereal
300.fermented fruit
